Регион;Год;Показатель
Алтайский край;2021;101
Амурская область;2021;96
Архангельская область;2021;109
Астраханская область;2021;70
Белгородская область;2021;81
Брянская область;2021;51
Владимирская область;2021;56
Волгоградская область;2021;77
Вологодская область;2021;90
Воронежская область;2021;101
г. Москва;2021;38
г. Санкт-Петербург;2021;85
г. Севастополь;2021;85
Еврейская автономная область;2021;103
Забайкальский край;2021;158
Ивановская область;2021;56
Иркутская область;2021;99
Кабардино-Балкарская Республика;2021;216
Калининградская область;2021;82
Калужская область;2021;47
Камчатский край;2021;89
Карачаево-Черкесская Республика;2021;55
Кемеровская область;2021;79
Кировская область;2021;75
Костромская область;2021;79
Краснодарский край;2021;97
Красноярский край;2021;93
Курганская область;2021;136
Курская область;2021;73
Ленинградская область;2021;72
Липецкая область;2021;108
Магаданская область;2021;147
Московская область;2021;66
Мурманская область;2021;110
Ненецкий автономный округ;2021;73
Нижегородская область;2021;72
Новгородская область;2021;68
Новосибирская область;2021;89
Омская область;2021;83
Оренбургская область;2021;94
Орловская область;2021;107
Пензенская область;2021;350
Пермский край;2021;74
Приморский край;2021;65
Псковская область;2021;53
Республика Адыгея;2021;55
Республика Алтай;2021;116
Республика Башкортостан;2021;124
Республика Бурятия;2021;105
Республика Дагестан;2021;65
Республика Ингушетия;2021;109
Республика Калмыкия;2021;82
Республика Карелия;2021;123
Республика Коми;2021;134
Республика Крым;2021;84
Республика Марий Эл;2021;84
Республика Мордовия;2021;183
Республика Саха (Якутия);2021;89
Республика Северная Осетия - Алания;2021;39
Республика Татарстан;2021;76
Республика Тыва;2021;270
Республика Хакасия;2021;97
Ростовская область;2021;120
Рязанская область;2021;48
Самарская область;2021;155
Саратовская область;2021;120
Сахалинская область;2021;97
Свердловская область;2021;105
Смоленская область;2021;54
Ставропольский край;2021;73
Тамбовская область;2021;90
Тверская область;2021;65
Томская область;2021;76
Тульская область;2021;52
Тюменская область;2021;134
Удмуртская Республика;2021;93
Ульяновская область;2021;121
Хабаровский край;2021;73
Ханты-Мансийский автономный округ - Югра;2021;173
Челябинская область;2021;79
Чеченская Республика;2021;631
Чувашская Республика;2021;77
Чукотский автономный округ;2021;305
Ямало-Ненецкий автономный округ;2021;142
Ярославская область;2021;74
Алтайский край;2022;51
Амурская область;2022;68
Архангельская область;2022;85
Астраханская область;2022;80
Белгородская область;2022;73
Брянская область;2022;44
Владимирская область;2022;40
Волгоградская область;2022;87
Вологодская область;2022;55
Воронежская область;2022;100
г. Москва;2022;34
г. Санкт-Петербург;2022;77
г. Севастополь;2022;84
Еврейская автономная область;2022;85
Забайкальский край;2022;107
Ивановская область;2022;41
Иркутская область;2022;102
Кабардино-Балкарская Республика;2022;75
Калининградская область;2022;63
Калужская область;2022;70
Камчатский край;2022;119
Карачаево-Черкесская Республика;2022;48
Кемеровская область;2022;60
Кировская область;2022;77
Костромская область;2022;56
Краснодарский край;2022;56
Красноярский край;2022;69
Курганская область;2022;79
Курская область;2022;68
Ленинградская область;2022;61
Липецкая область;2022;122
Магаданская область;2022;114
Московская область;2022;58
Мурманская область;2022;109
Ненецкий автономный округ;2022;47
Нижегородская область;2022;62
Новгородская область;2022;53
Новосибирская область;2022;70
Омская область;2022;64
Оренбургская область;2022;70
Орловская область;2022;70
Пензенская область;2022;278
Пермский край;2022;59
Приморский край;2022;65
Псковская область;2022;89
Республика Адыгея;2022;35
Республика Алтай;2022;77
Республика Башкортостан;2022;103
Республика Бурятия;2022;66
Республика Дагестан;2022;48
Республика Ингушетия;2022;185
Республика Калмыкия;2022;50
Республика Карелия;2022;116
Республика Коми;2022;81
Республика Крым;2022;84
Республика Марий Эл;2022;63
Республика Мордовия;2022;141
Республика Саха (Якутия);2022;57
Республика Северная Осетия - Алания;2022;36
Республика Татарстан;2022;54
Республика Тыва;2022;183
Республика Хакасия;2022;82
Ростовская область;2022;89
Рязанская область;2022;65
Самарская область;2022;112
Саратовская область;2022;136
Сахалинская область;2022;85
Свердловская область;2022;98
Смоленская область;2022;62
Ставропольский край;2022;52
Тамбовская область;2022;120
Тверская область;2022;51
Томская область;2022;64
Тульская область;2022;60
Тюменская область;2022;106
Удмуртская Республика;2022;93
Ульяновская область;2022;78
Хабаровский край;2022;54
Ханты-Мансийский автономный округ - Югра;2022;76
Челябинская область;2022;60
Чеченская Республика;2022;113
Чувашская Республика;2022;66
Чукотский автономный округ;2022;153
Ямало-Ненецкий автономный округ;2022;127
Ярославская область;2022;40
Алтайский край;2023;47
Амурская область;2023;63
Архангельская область;2023;27
Астраханская область;2023;60
Белгородская область;2023;46
Брянская область;2023;26
Владимирская область;2023;21
Волгоградская область;2023;54
Вологодская область;2023;20
Воронежская область;2023;56
г. Москва;2023;33
г. Санкт-Петербург;2023;61
г. Севастополь;2023;48
Еврейская автономная область;2023;52
Забайкальский край;2023;88
Ивановская область;2023;28
Иркутская область;2023;62
Кабардино-Балкарская Республика;2023;50
Калининградская область;2023;40
Калужская область;2023;34
Камчатский край;2023;70
Карачаево-Черкесская Республика;2023;58
Кемеровская область;2023;53
Кировская область;2023;37
Костромская область;2023;24
Краснодарский край;2023;57
Красноярский край;2023;60
Курганская область;2023;57
Курская область;2023;43
Ленинградская область;2023;41
Липецкая область;2023;78
Магаданская область;2023;92
Московская область;2023;43
Мурманская область;2023;70
Ненецкий автономный округ;2023;18
Нижегородская область;2023;32
Новгородская область;2023;35
Новосибирская область;2023;60
Омская область;2023;49
Оренбургская область;2023;44
Орловская область;2023;41
Пензенская область;2023;305
Пермский край;2023;29
Приморский край;2023;46
Псковская область;2023;35
Республика Адыгея;2023;35
Республика Алтай;2023;49
Республика Башкортостан;2023;87
Республика Бурятия;2023;96
Республика Дагестан;2023;20
Республика Ингушетия;2023;79
Республика Калмыкия;2023;27
Республика Карелия;2023;64
Республика Коми;2023;51
Республика Крым;2023;46
Республика Марий Эл;2023;31
Республика Мордовия;2023;193
Республика Саха (Якутия);2023;47
Республика Северная Осетия - Алания;2023;25
Республика Татарстан;2023;28
Республика Тыва;2023;239
Республика Хакасия;2023;50
Ростовская область;2023;64
Рязанская область;2023;43
Самарская область;2023;54
Саратовская область;2023;104
Сахалинская область;2023;52
Свердловская область;2023;66
Смоленская область;2023;30
Ставропольский край;2023;36
Тамбовская область;2023;150
Тверская область;2023;31
Томская область;2023;51
Тульская область;2023;42
Тюменская область;2023;92
Удмуртская Республика;2023;41
Ульяновская область;2023;44
Хабаровский край;2023;65
Ханты-Мансийский автономный округ - Югра;2023;121
Челябинская область;2023;36
Чеченская Республика;2023;28
Чувашская Республика;2023;46
Чукотский автономный округ;2023;110
Ямало-Ненецкий автономный округ;2023;109
Ярославская область;2023;30
